01_LTTH1;Temperatura del Cabezal de Lubricación / Lube oil header temperature                        ;Err:511;°F;18/09/15 10:22
01_LTBT1D;Temp de aceite de drenaje cojinete de empuje #1 / Turbine thrust bearing #1 drain oil temperature;Err:511;°F;18/09/15 10:22
01_LTB1D;Temp de aceite de drenaje cojinete #1 / Turbine bearing #1 drain oil temperature  ;Err:511;°F;#ADDIN?
01_LTB2D;Temp de aceite de drenaje cojinete #2 / Turbine bearing #2 drain oil temperature ;Err:511;°F;18/09/15 10:22
01_LTB3D;Temp de aceite de drenaje cojinete #3 / Turbine bearing #3 drain oil temperature   ;Err:511;°F;18/09/15 10:22
01_LTB4D;Temp de aceite de drenaje cojinete #4 / Turbine bearing #4 drain oil temperature;Err:511;°F;18/09/15 10:22
01_BTTA1_1_S ;Temp metal cojinete empuje #1 (lado activo) / Turb.thrust bearing #1 act. side metal temper.#1 ;Err:511;°F;18/09/15 10:22
01_BTTA1_2_S;Temp metal cojinete empuje #1 (lado activo) / Turb.thrust bearing #1 act. side metal temper.#2 ;Err:511;°F;18/09/15 10:22
01_BTTI1_1_R;Temp metal cojinete empuje #1 (lado inactivo) / Turb.thrust bearing #1 inact. side metal temper.#1;Err:511;°F;#ADDIN?
01_BTTI1_2_R;Temp metal cojinete empuje #1 (lado inactivo) / Turb.thrust bearing #1 inact. side metal temper.#2 ;Err:511;°F;18/09/15 10:22
01_BTJ1_1_R;Temp metal cojinete empuje #1 (radial) / Turb.journal bearing #1 metal temper.#1;Err:511;°F;18/09/15 10:22
01_BTJ1_2_R;Temp metal cojinete empuje #1 (radial) / Turb.journal bearing #1 metal temper.#2   ;Err:511;°F;18/09/15 10:22
01_BTTI4_1_S;Temp metal cojinete empuje #4 (lado inactivo) / Turb.thrust bearing #4 inact. side metal temper.#1 ;Err:511;°F;18/09/15 10:22
01_BTTI4_2_S;Temp metal conjinete empuje #4 (lado inactivo) Turb.thrust bearing #4 inact. side metal temper.#2 ;Err:511;°F;18/09/15 10:22
01_BTTA4_1_T;Temp metal cojinete empuje #4 (lado activo) / Turb.thrust bearing #4 act. side metal temper.#1;Err:511;°F;18/09/15 10:22
01_BTTA4_2_T;Temp metal cojinete empuje #4 (lado activo) / Turb.thrust bearing #4 act. side metal temper.#2 ;Err:511;°F;#ADDIN?
01_BTJ4_1_T ;Temp metal cojinete empuje #1 (radial) / Turb.journal bearing #4 metal temper.#1 ;Err:511;°F;18/09/15 10:22
01_BTJ4_2_T;Temp metal cojinete empuje #4  (radial) / Turb.journal bearing #4 metal temper.#2 ;Err:511;°F;18/09/15 10:22
01_BB1;Sensor de Vibración (Cojinete #1) / Vibration sensor;Err:511;IN/S;18/09/15 10:22
01_BB2;Sensor de Vibración (Cojinete #1) / Vibration sensor ;Err:511;IN/S;18/09/15 10:22
01_BB4;Sensor de Vibración (Cojinete #4) / Vibration sensor;Err:511;IN/S;#ADDIN?
01_BB5;Sensor de Vibración (Cojinete #4) / Vibration sensor;Err:511;IN/S;18/09/15 10:22
01_FTG  ;Transmisor temp de succión de gas combustible / Fuel gas suction temperature transmitter  ;Err:511;°F;18/09/15 10:22
01_FPG3 ;Transmisor presión de succión de gas combustible / Fuel gas suction pressure transmitter ;Err:511;PSI;18/09/15 10:22
01_FDG1 ;transmisor de flujo de succion de gas combustible / Fuel gas suction flow transmitter   ;Err:511;"DP H20""";#ADDIN?
01_USI-0001 ;Velocidad del compresor / Compressors Speed ;Err:511;RPM;18/09/15 10:22
01_A63GS1  ;Presión de succión de compresor de 1era etapa / Proc.compr.1st st.suction gas pressure ;Err:511;PSI;18/09/15 10:22
01_A26GS1;Temperatura de succión de compresor de 1era etapa / Proc.compr.1st stage suction gas temperature Tx ;Err:511;°F;#ADDIN?
01_A63GD1  ;Presión de descarga de compresor de 1era etapa / Proc.compr.1st stage disharge pressure  ;Err:511;PSI;18/09/15 10:22
01_A26GD1 ;Temperatura de descarga de compresor de 1era etapa / Proc.compr.1st stage discharge gas temperature Tx ;Err:511;°F;18/09/15 10:22
01_FI-0003;Flujo de gas manejado / Process compressors flow ;Err:511;MMACFD;#ADDIN?
01_A63GF1 ;Presión diferencial filtros compr 1era etapa / Proc.compr.1st st.filter diff.press.trans. ;Err:511;;#ADDIN?
01_A63GS2;Presión de succión de compresor de 2da etapa / Proc.compr.2nd st.suction gas pressure ;Err:511;PSI;18/09/15 10:22
01_A26GS2;Temperatura de succión de compresor de 2da etapa / Proc.compr.2nd stage suction gas temperature Tx ;Err:511;°F;#ADDIN?
01_A63GD2 ;Presión de descarga de compresor de 2da etapa / Proc.compr.2nd stage disharge pressure  ;Err:511;PSI;#ADDIN?
01_A26GD2 ;Temperatura de descarga de compresor de 2da etapa / Proc.compr.2nd stage discharge gas temperature Tx ;Err:511;°F;#ADDIN?
01_A63GF2;Presión diferencial filtros compr 2da etapa / Proc.compr.2nd.filter diff.press.trans.;Err:511;;#ADDIN?
